Year,Trillion Btu
2017,15619.866
2016,14667.089
2015,17946.095
2014,20285.705
2013,20001.304
2012,20676.893
2011,22221.407
2010,22038.226
2009,21623.721
2008,23851.368
2007,23492.742
2006,23789.51
2005,23185.189
2004,22852.099
2003,22093.652
2002,22732.237
2001,23547.08
2000,22735.478
1999,23295.084
1998,24045.198
1997,23309.614
1996,22790.148
1995,22129.55
1994,22202.083
1993,20335.654
1992,21694.132
1991,21636.424
1990,22487.548
1989,21360.178
1988,20737.639
1987,20141.104
1986,19509.466
1985,19325.166
1984,19719.216
1983,17246.671
1982,18638.773
1981,18376.773
1980,18597.726
1979,17539.583
1978,14909.809
1977,15754.741
1976,15653.687
1975,14989.315
1974,14074.451
1973,13992.126
1972,14091.685
1971,13185.523
1970,14607.064
1969,13863.346
1968,13608.678
1967,13825.487
1966,13467.679
1965,13055.285
1964,12523.881
1963,11849.229
1962,10900.56
1961,10447.091
1960,10817.398
1959,10777.984
1958,10783.088
1957,13061.393
1956,13306.334
1955,12369.608
1954,10542.448
1953,12277.746
1952,12734.313
1951,14419.325
1950,14060.135
1949,11973.882
