Year,Kilograms of CO2 per million Btu
2014,94.438044
2013,94.438044
2012,94.438044
2011,94.438044
2010,94.438044
2009,94.438044
2008,94.438044
2007,94.438044
2006,94.438044
2005,94.438044
2004,94.438044
2003,94.438044
2002,94.438044
2001,94.438044
2000,94.438044
1999,94.438044
1998,94.438044
1997,94.438044
1996,94.392684
1995,94.392684
1994,94.301966
1993,94.256607
1992,94.211247
1991,94.211247
1990,94.165888
1989,94.120529
1988,94.120529
1987,94.02981
1986,93.984451
1985,94.02981
1984,93.984451
1983,93.984451
1982,93.939092
1981,93.803014
1980,93.757654
