Year,Quadrillion Btu
2019,6.5382999
2018,6.4061354514
2017,6.2760542759
2016,5.5541522073
2015,4.9845376964
2014,5.0257398944
2013,4.8327032091
2012,4.5857722888
2011,4.8545405979
2010,4.0643689499
2009,3.967217224
2008,3.6295743157
2007,3.3445806418
2006,3.6651085924
2005,3.4063186596
2004,3.3388937626
2003,3.4139825297
2002,3.430359082
2001,2.9098185237
2000,3.5789546009
1999,4.0335450662
1998,4.032261913
1997,4.3746022796
1996,4.3050140695
1995,3.8886022345
1994,3.4196917179
1993,3.6624815001
1992,3.3596250678
1991,3.7102185389
1990,3.688946337
