Year,Billion Btu
2016,5756726
2015,5784126
2014,5689677
2013,5750770
2012,5690504
2011,5553992
2010,5746063
2009,5859162
2008,6096996
2007,6334291
2006,6232102
2005,6115421
2004,6204346
2003,5909544
2002,6098528
2001,6172713
2000,6103048
1999,5877136
1998,5804462
1997,5563538
1996,5481047
1995,5512662
1994,5730548
1993,5459215
1992,5633110
1991,5553699
1990,5692736
1989,5683570
1988,5428277
1987,5359200
1986,4821686
1985,5097678
1984,4991844
1983,4613211
1982,4709930
1981,5237875
1980,5435689
1979,5704530
1978,5370543
1977,5552369
1976,5162842
1975,4971979
1974,4871800
1973,5270729
1972,5086532
1971,4972552
1970,4806416
1969,4708602
1968,4648351
1967,4354651
1966,4255290
1965,3968446
1964,3900194
1963,3587210
1962,3404231
1961,3353873
1960,3176223
