Year,million metric tons CO2
2014,357.976125
2013,360.458282
2012,357.229023
2011,352.358704
2010,365.995778
2009,372.077042
2008,385.782129
2007,402.615619
2006,397.608876
2005,389.438552
2004,392.214982
2003,373.768824
2002,386.007842
2001,386.828606
2000,382.36897
1999,366.957729
1998,363.406149
1997,352.922706
1996,350.470562
1995,351.375788
1994,362.390856
1993,345.450242
1992,356.097438
1991,351.674156
1990,363.825774
1989,363.470649
1988,348.21554
1987,340.05375
1986,309.475461
1985,324.131344
1984,319.447882
1983,293.021294
1982,299.895222
1981,336.994114
1980,348.390511
