Year,Billion Btu
2016,7830294
2015,7689270
2014,7588165
2013,7641507
2012,7549428
2011,7766158
2010,7757919
2009,7779429
2008,8083096
2007,8265016
2006,8291763
2005,8168407
2004,8262592
2003,7895135
2002,8013540
2001,7960425
2000,7926371
1999,7856797
1998,7835347
1997,7542426
1996,7425174
1995,7302744
1994,7279966
1993,7152313
1992,7309837
1991,7343362
1990,7445153
1989,7421870
1988,7145316
1987,6939976
1986,6502678
1985,6603078
1984,6534948
1983,6093451
1982,6077238
1981,6333429
1980,6541825
1979,6729279
1978,6474592
1977,6363228
1976,6188055
1975,6034581
1974,5817867
1973,6048369
1972,5873069
1971,5748474
1970,5499913
1969,5357405
1968,5115522
1967,4841294
1966,4647090
1965,4387443
1964,4221395
1963,3925660
1962,3725916
1961,3610724
1960,3451501
