Year,Billion Btu
2016,197754
2015,193529
2014,177656
2013,187162
2012,193939
2011,383644
2010,336562
2009,332218
2008,339506
2007,375427
2006,333488
2005,377313
2004,315634
2003,370958
2002,358707
2001,346911
2000,366845
1999,348736
1998,362928
1997,320194
1996,358119
1995,317794
1994,352778
1993,331724
1992,369043
1991,330684
1990,345955
1989,344146
1988,327209
1987,317298
1986,277332
1985,209565
1984,153366
1983,61214
1982,41357
1981,35367
1980,53665
1979,95320
1978,83801
1977,87396
1976,53107
1975,66855
1974,41277
1973,28689
1972,34266
1971,38137
1970,34375
1969,27127
1968,17003
1967,6503
1966,1895
1965,3193
1964,4369
1963,2288
1962,84
1961,55
1960,1
