Year,Billion Btu
2016,1046744
2015,859490
2014,857583
2013,852365
2012,806824
2011,940168
2010,829172
2009,725204
2008,679899
2007,706866
2006,897179
2005,819329
2004,768877
2003,768599
2002,684540
2001,615202
2000,741676
1999,764489
1998,838183
1997,767359
1996,824928
1995,854509
1994,635968
1993,822377
1992,642464
1991,658096
1990,672951
1989,742260
1988,515854
1987,524440
1986,668070
1985,594659
1984,696738
1983,811004
1982,702806
1981,503653
1980,591928
1979,559806
1978,576601
1977,338073
1976,422852
1975,578578
1974,645073
1973,553162
1972,472312
1971,533790
1970,521978
1969,544918
1968,397366
1967,473192
1966,375877
1965,418518
1964,331757
1963,360333
1962,329046
1961,248178
1960,270161
