Year,Billion Btu
2016,267101
2015,211555
2014,156324
2013,84832
2012,53127
2011,41282
2010,35590
2009,30965
2008,29708
2007,25625
2006,23207
2005,22019
2004,22152
2003,21804
2002,22373
2001,22921
2000,23041
1999,23897
1998,24473
1997,24966
1996,25587
1995,25332
1994,25136
1993,24602
1992,23566
1991,23786
1990,22028
1989,19697
1988,93
1987,109
1986,147
1985,111
1984,55
1983,0
1982,0
1981,0
1980,0
1979,0
1978,0
1977,0
1976,0
1975,0
1974,0
1973,0
1972,0
1971,0
1970,0
1969,0
1968,0
1967,0
1966,0
1965,0
1964,0
1963,0
1962,0
1961,0
1960,0
