Year,Million Metric Tons of Carbon Dioxide
2017,5142.236
2016,5189.398
2015,5274.115
2014,5419.331
2013,5371.791
2012,5242.656
2011,5453.563
2010,5591.015
2009,5395.641
2008,5815.495
2007,6005.228
2006,5912.481
2005,5991.616
2004,5970.582
2003,5855.027
2002,5805.455
2001,5762.275
2000,5866.605
1999,5689.772
1998,5637.166
1997,5583.683
1996,5511.12
1995,5324.119
1994,5261.26
1993,5183.562
1992,5089.638
1991,4992.917
1990,5038.3
1989,5066.325
1988,4981.583
1987,4756.896
1986,4598.49
1985,4592.549
1984,4600.353
1983,4370.874
1982,4392.799
1981,4625.276
1980,4749.865
1979,4944.524
1978,4879.455
1977,4830.053
1976,4688.825
1975,4421.434
1974,4555.845
1973,4715.342
1972,4532.008
1971,4311.927
1970,4261.308
1969,4134.687
1968,3964.523
1967,3749.382
1966,3654.179
1965,3461.741
1964,3316.753
1963,3184.517
1962,3064.923
1961,2942.791
1960,2914.009
1959,2807.171
1958,2703.189
1957,2756.562
1956,2777.043
1955,2684.786
1954,2422.253
1953,2536.893
1952,2473.374
1951,2526.687
1950,2382.046
1949,2206.691
