Year,million metric tons CO2
2014,3.714184
2013,3.588513
2012,4.125493
2011,5.202889
2010,5.176391
2009,4.934631
2008,5.963232
2007,6.289128
2006,6.34234
2005,6.374573
2004,6.473759
2003,6.52405
2002,6.57913
2001,6.390106
2000,6.608818
1999,6.575152
1998,6.252351
1997,7.803473
1996,7.581931
1995,7.969522
1994,7.988615
1993,7.991984
1992,8.662705
1991,8.477337
1990,7.956922
1989,6.228459
1988,4.758206
1987,4.208382
1986,3.982624
1985,4.237789
1984,3.483326
1983,2.990691
1982,6.404186
1981,7.230622
1980,6.079163
