Year,million metric tons CO2
2014,128.26359
2013,131.750951
2012,130.32691
2011,116.525651
2010,123.378344
2009,126.877909
2008,131.188445
2007,130.919713
2006,126.059085
2005,122.267125
2004,130.638459
2003,122.935745
2002,123.020424
2001,133.376555
2000,130.330412
1999,126.25131
1998,128.327364
1997,115.930461
1996,107.051269
1995,111.946914
1994,123.875326
1993,117.42008
1992,121.71958
1991,117.164453
1990,111.504209
1989,108.651511
1988,98.706145
1987,105.739974
1986,84.415597
1985,102.158277
1984,92.30974
1983,84.945846
1982,93.653983
1981,103.321173
1980,100.32379
