Year,Billion Btu
2016,124715
2015,113967
2014,123559
2013,122335
2012,92821
2011,75317
2010,59303
2009,56997
2008,53063
2007,55201
2006,48433
2005,42618
2004,43128
2003,39441
2002,38684
2001,36163
2000,35887
1999,33029
1998,28122
1997,32037
1996,31836
1995,31831
1994,34942
1993,30758
1992,29619
1991,30416
1990,28698
1989,21685
1988,6
1987,38
1986,28
1985,28
1984,37
1983,16
1982,0
1981,0
1980,0
1979,0
1978,0
1977,0
1976,0
1975,0
1974,0
1973,0
1972,0
1971,0
1970,0
1969,0
1968,0
1967,0
1966,0
1965,0
1964,0
1963,0
1962,0
1961,0
1960,0
