Year,Trillion Btu
2017,19537.928
2016,18548.383
2015,19632.281
2014,18530.51
2013,15805.982
2012,13791.02
2011,11945.911
2010,11590.974
2009,11322.969
2008,10608.979
2007,10741.447
2006,10766.775
2005,10974.152
2004,11550.086
2003,11959.568
2002,12160.213
2001,12281.566
2000,12358.101
1999,12451.046
1998,13235.13
1997,13658.02
1996,13722.899
1995,13886.754
1994,14102.563
1993,14494.39
1992,15222.863
1991,15700.826
1990,15571.185
1989,16116.883
1988,17278.931
1987,17674.787
1986,18375.862
1985,18992.407
1984,18848.237
1983,18391.794
1982,18308.947
1981,18146.019
1980,18248.917
1979,18103.598
1978,18433.653
1977,17453.737
1976,17261.844
1975,17729.318
1974,18574.993
1973,19493.237
1972,20041.134
1971,20032.701
1970,20401.21
1969,19556.156
1968,19308.444
1967,18651.304
1966,17561.025
1965,16521.381
1964,16163.568
1963,15965.793
1962,15521.896
1961,15206.196
1960,14934.611
1959,14932.622
1958,14204.125
1957,15178.026
1956,15180.241
1955,14409.682
1954,13426.93
1953,13671.076
1952,13281.049
1951,13036.724
1950,11446.729
1949,10683.252
