Year,Trillion Btu
2017,5045.812
2016,4770.102
2015,4567.489
2014,4096.409
2013,3532.226
2012,3245.85
2011,2970.152
2010,2781.288
2009,2573.782
2008,2419.358
2007,2408.589
2006,2355.836
2005,2333.842
2004,2465.85
2003,2346.26
2002,2559.168
2001,2547.136
2000,2610.916
1999,2527.649
1998,2420.459
1997,2495.207
1996,2529.91
1995,2441.583
1994,2390.979
1993,2408.002
1992,2362.961
1991,2305.74
1990,2174.714
1989,2158.342
1988,2259.83
1987,2215.035
1986,2149.102
1985,2240.771
1984,2273.77
1983,2184.107
1982,2191.077
1981,2307.382
1980,2253.63
1979,2286.081
1978,2245.438
1977,2326.983
1976,2327.046
1975,2374.297
1974,2471.169
1973,2568.779
1972,2597.539
1971,2543.544
1970,2512.128
1969,2419.605
1968,2321.212
1967,2177.174
1966,1995.921
1965,1882.795
1964,1803.106
1963,1709.378
1962,1592.568
1961,1549.114
1960,1460.974
1959,1382.783
1958,1286.874
1957,1288.811
1956,1282.73
1955,1239.721
1954,1113.167
1953,1061.677
1952,997.771
1951,920.369
1950,822.828
1949,713.799
