Year,Trillion Btu
2017,774.277
2016,568.665
2015,425.727
2014,336.939
2013,224.523
2012,156.849
2011,111.129
2010,90.483
2009,77.654
2008,73.814
2007,65.375
2006,60.581
2005,57.773
2004,58.295
2003,58.366
2002,59.923
2001,61.626
2000,63.43
1999,66.031
1998,67.419
1997,68.14
1996,69.11
1995,68.212
1994,67.108
1993,65.173
1992,62.865
1991,61.609
1990,58.755
1989,54.455
1988,0.094
1987,0.109
1986,0.147
1985,0.111
1984,0.055
1983,NA
1982,NA
1981,NA
1980,NA
1979,NA
1978,NA
1977,NA
1976,NA
1975,NA
1974,NA
1973,NA
1972,NA
1971,NA
1970,NA
1969,NA
1968,NA
1967,NA
1966,NA
1965,NA
1964,NA
1963,NA
1962,NA
1961,NA
1960,NA
1959,NA
1958,NA
1957,NA
1956,NA
1955,NA
1954,NA
1953,NA
1952,NA
1951,NA
1950,NA
1949,NA
