Year,Million Metric Tons of Carbon Dioxide
2017,956.191
2016,981.89
2015,1036.991
2014,1115.199
2013,1099.843
2012,1042.671
2011,1148.778
2010,1209.502
2009,1156.963
2008,1234.462
2007,1240.533
2006,1191.396
2005,1260.913
2004,1227.255
2003,1232.023
2002,1202.564
2001,1171.452
2000,1185.031
1999,1121.582
1998,1097.403
1997,1089.777
1996,1099.083
1995,1039.039
1994,1032.217
1993,1039.298
1992,981.421
1991,980.095
1990,963.149
1989,1005.133
1988,982.372
1987,934.221
1986,904.915
1985,908.647
1984,902.12
1983,866.888
1982,872.63
1981,878.414
1980,911.355
1979,918.004
1978,938.386
1977,934.507
1976,912.634
1975,867.233
1974,873.107
1973,906.93
