Year,Trillion Btu
2017,68051.504
2016,65634.87
2015,70212.746
2014,69630.697
2013,64198.584
2012,62323.827
2011,60543.191
2010,58216.251
2009,56659.922
2008,57582.589
2007,56428.986
2006,55933.826
2005,55049.197
2004,55942.289
2003,56032.784
2002,56833.673
2001,58541.348
2000,57366.024
1999,57614.481
1998,59314.083
1997,58856.691
1996,58387.225
1995,57540.133
1994,58043.638
1993,55822.082
1992,57655.057
1991,57871.727
1990,58559.602
1989,57482.679
1988,57874.997
1987,57166.745
1986,56575.231
1985,57538.724
1984,58849.156
1983,54415.961
1982,57457.822
1981,58529.329
1980,59007.873
1979,58005.609
1978,55074.118
1977,55100.782
1976,54722.896
1975,54733.273
1974,56330.758
1973,58241.491
1972,58937.904
1971,58041.56
1970,59186.071
1969,56285.569
1968,54306.187
1967,52597.132
1966,50035.367
1965,47234.902
1964,45788.951
1963,44037.181
1962,41731.885
1961,40307.136
1960,39869.117
1959,39045.216
1958,37216.322
1957,40133.484
1956,39771.452
1955,37363.68
1954,33764.33
1953,35349.336
1952,34976.732
1951,35792.151
1950,32562.667
1949,28748.176
