Year,Trillion Btu
2017,2347.276
2016,2095.595
2015,1777.306
2014,1727.542
2013,1601.359
2012,1340.059
2011,1167.636
2010,923.427
2009,721.129
2008,545.548
2007,340.503
2006,263.738
2005,178.088
2004,141.664
2003,113.273
2002,105.334
2001,69.617
2000,57.057
1999,45.894
1998,30.853
1997,33.581
1996,33.44
1995,32.63
1994,35.56
1993,30.987
1992,29.863
1991,30.796
1990,29.007
1989,22.033
1988,0.009
1987,0.037
1986,0.044
1985,0.06
1984,0.068
1983,0.028
1982,NA
1981,NA
1980,NA
1979,NA
1978,NA
1977,NA
1976,NA
1975,NA
1974,NA
1973,NA
1972,NA
1971,NA
1970,NA
1969,NA
1968,NA
1967,NA
1966,NA
1965,NA
1964,NA
1963,NA
1962,NA
1961,NA
1960,NA
1959,NA
1958,NA
1957,NA
1956,NA
1955,NA
1954,NA
1953,NA
1952,NA
1951,NA
1950,NA
1949,NA
